Charge,Start,Result,SSE_FAIL,SST_FAIL
2.450000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,8.888888888888888395e-01
2.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,7.777777777777776791e-01
2.550000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
2.650000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.666666666666666519e+00
2.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,8.888888888888888395e-01
2.750000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.222222222222222321e+00
2.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,7.777777777777776791e-01
2.850000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.555555555555555580e+00
2.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.222222222222222321e+00
2.950000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,8.888888888888888395e-01
3.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,8.888888888888888395e-01
3.050000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.222222222222222321e+00
3.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
3.150000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.666666666666666519e+00
3.250000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.555555555555555580e+00
3.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.222222222222222321e+00
3.350000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.444444444444444420e+00
3.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.450000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.555555555555555580e+00
3.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
3.550000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.444444444444444420e+00
3.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.666666666666666519e+00
3.650000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.750000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.555555555555555358e+00
3.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.850000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.666666666666666519e+00
3.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.950000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.111111111111111160e+00
4.050000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.150000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.250000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.555555555555555580e+00
4.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.350000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.666666666666666519e+00
4.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.450000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.777777777777777679e+00
4.550000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.650000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.750000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.850000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.666666666666666519e+00
4.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.950000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
6.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.111111111111111049e-01
7.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
8.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
8.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
9.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
9.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
1.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.333333333333333148e-01
1.050000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
1.100000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
1.150000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
1.200000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
1.250000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.333333333333333148e-01
1.300000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.333333333333333148e-01
1.350000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.333333333333333148e-01
1.400000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.333333333333333148e-01
1.450000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.444444444444444198e-01
1.500000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.333333333333333148e-01
1.550000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.444444444444444198e-01
1.600000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.444444444444444198e-01
1.650000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.444444444444444198e-01
1.700000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.555555555555555802e-01
1.750000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.444444444444444198e-01
1.800000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.444444444444444198e-01
1.850000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.555555555555555802e-01
1.900000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,8.888888888888888395e-01
1.950000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,6.666666666666666297e-01
2.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.444444444444444198e-01
2.050000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.555555555555555802e-01
2.100000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,6.666666666666666297e-01
2.150000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,7.777777777777776791e-01
2.250000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.555555555555555802e-01
2.300000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,8.888888888888888395e-01
2.350000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,8.888888888888888395e-01
2.400000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
2.450000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,8.888888888888888395e-01
2.500000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.111111111111111160e+00
2.550000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.222222222222222321e+00
2.600000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.333333333333333259e+00
2.650000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.222222222222222321e+00
2.700000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.111111111111111160e+00
2.750000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.333333333333333259e+00
2.800000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.777777777777777679e+00
2.850000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
2.900000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.666666666666666519e+00
2.950000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.555555555555555358e+00
3.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.777777777777777679e+00
3.050000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.555555555555555580e+00
3.100000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.666666666666666519e+00
3.150000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.888888888888888840e+00
3.200000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.888888888888888840e+00
3.250000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.666666666666666519e+00
3.300000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
3.350000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.777777777777777679e+00
3.400000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.888888888888888840e+00
3.450000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.888888888888888840e+00
3.500000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.550000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.777777777777777679e+00
3.600000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.650000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.700000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.750000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.800000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.850000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.900000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.950000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.050000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.100000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.150000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.200000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.250000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.300000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.350000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.400000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.450000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.500000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.550000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.600000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.650000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.700000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.750000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.800000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.850000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.900000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.950000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.111111111111111049e-01
6.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.111111111111111049e-01
7.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.111111111111111049e-01
8.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.111111111111111049e-01
9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
9.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
1.050000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.111111111111111049e-01
1.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
1.150000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.333333333333333148e-01
1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.333333333333333148e-01
1.250000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.444444444444444198e-01
1.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
1.350000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
1.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
1.450000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.333333333333333148e-01
1.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.444444444444444198e-01
1.550000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.222222222222222099e-01
