Charging Rate,Start Window,Result,SSE,SST
42.0,1.0,0.0,0.0,100.0
42.0,1.1,0.0,0.0,100.0
42.0,1.2,0.0,0.0,100.0
42.0,1.3,0.0,0.0,100.0
42.0,1.4,0.0,0.0,100.0
42.0,1.5,0.0,0.0,100.0
42.0,1.6,0.0,0.0,100.0
42.0,1.7000000000000002,0.0,0.0,100.0
42.0,1.8,0.0,0.0,100.0
42.0,1.9,0.0,0.0,100.0
42.0,2.0,0.0,0.0,100.0
42.0,2.1,0.0,0.0,100.0
42.0,2.2,0.0,0.0,100.0
42.0,2.3,0.0,0.0,100.0
42.0,2.4000000000000004,0.0,0.0,100.0
42.0,2.5,0.0,0.0,100.0
42.0,2.6,0.0,0.0,100.0
42.0,2.7,0.0,0.0,100.0
42.0,2.8,0.0,0.0,100.0
42.0,2.9000000000000004,0.0,0.0,100.0
42.0,3.0,0.0,0.0,100.0
42.0,3.1,0.0,0.0,100.0
42.0,3.2,0.0,0.0,100.0
42.0,3.3000000000000003,0.0,0.0,100.0
42.0,3.4000000000000004,0.0,0.0,100.0
42.0,3.5,0.0,0.0,100.0
42.0,3.6,0.0,0.0,100.0
42.0,3.7,0.0,0.0,100.0
42.0,3.8000000000000003,0.0,0.0,100.0
42.0,3.9000000000000004,0.0,0.0,100.0
42.0,4.0,0.0,0.0,100.0
42.0,4.1,0.0,0.0,100.0
42.0,4.2,0.0,0.0,100.0
42.0,4.300000000000001,0.0,0.0,100.0
42.0,4.4,0.0,0.0,100.0
42.0,4.5,0.0,0.0,100.0
42.0,4.6,0.0,0.0,100.0
42.0,4.7,0.0,0.0,100.0
42.0,4.800000000000001,0.0,0.0,100.0
42.0,4.9,0.0,0.0,100.0
42.0,5.0,0.0,0.0,100.0
42.0,5.1000000000000005,2.6,0.0,98.82222222222224
42.0,5.2,7.6,0.0,95.99999999999997
42.0,5.3,9.8,0.0,95.0
42.0,5.4,17.2,0.0,90.17777777777783
42.0,5.5,25.4,0.0,86.08888888888897
42.0,5.6000000000000005,42.4,0.0,75.77777777777786
42.0,5.7,53.8,0.0,69.20000000000013
42.0,5.800000000000001,69.2,0.0,59.2444444444446
42.0,5.9,72.6,0.0,54.42222222222249
42.0,6.0,81.4,0.0,48.977777777778066
42.0,6.1000000000000005,86.4,0.0,46.977777777778016
42.0,6.2,92.0,0.0,42.62222222222244
42.0,6.300000000000001,90.8,0.0,42.13333333333361
42.0,6.4,96.4,0.0,37.48888888888914
42.0,6.5,97.4,0.0,35.11111111111135
42.0,6.6000000000000005,97.6,0.0,33.88888888888911
42.0,6.7,97.4,0.0,34.622222222222476
42.0,6.800000000000001,98.8,0.0,31.555555555555728
42.0,6.9,99.4,0.0,31.488888888889043
42.0,7.0,99.8,0.0,31.8222222222224
42.0,7.1000000000000005,99.6,0.0,30.73333333333351
42.0,7.2,99.6,0.0,32.37777777777795
42.0,7.300000000000001,99.8,0.0,31.355555555555718
42.0,7.4,99.6,0.0,30.044444444444615
42.0,7.5,99.8,0.0,29.20000000000016
42.0,7.6000000000000005,100.0,0.0,28.377777777777897
42.0,7.7,100.0,0.0,28.46666666666682
42.0,7.800000000000001,100.0,0.0,27.555555555555713
42.0,7.9,100,0,0
42.0,8.0,100,0,0
42.0,8.100000000000001,100,0,0
42.0,8.2,100,0,0
42.0,8.3,100,0,0
42.0,8.4,100,0,0
42.0,8.5,100,0,0
42.0,8.600000000000001,100,0,0
42.0,8.7,100,0,0
42.0,8.8,100,0,0
42.0,8.9,100,0,0
42.0,9.0,100,0,0
42.0,9.1,100,0,0
42.0,9.200000000000001,100,0,0
42.0,9.3,100,0,0
42.0,9.4,100,0,0
42.0,9.5,100,0,0
42.0,9.6,100,0,0
42.0,9.700000000000001,100,0,0
42.0,9.8,100,0,0
42.0,9.9,100,0,0
42.0,10.0,100,0,0
42.0,10.1,100,0,0
42.0,10.200000000000001,100,0,0
42.0,10.3,100,0,0
42.0,10.4,100,0,0
42.0,10.5,100,0,0
42.0,10.600000000000001,100,0,0
42.0,10.700000000000001,100,0,0
42.0,10.8,100,0,0
42.0,10.9,100,0,0
42.0,11.0,100,0,0
42.0,11.100000000000001,100,0,0
42.0,11.200000000000001,100,0,0
42.0,11.3,100,0,0
42.0,11.4,100,0,0
42.0,11.5,100,0,0
42.0,11.600000000000001,100,0,0
42.0,11.700000000000001,100,0,0
42.0,11.8,100,0,0
42.0,11.9,100,0,0
42.0,12.0,100,0,0
42.0,12.100000000000001,100,0,0
42.0,12.200000000000001,100,0,0
42.0,12.3,100,0,0
42.0,12.4,100,0,0
42.0,12.5,100,0,0
42.0,12.600000000000001,100,0,0
42.0,12.700000000000001,100,0,0
42.0,12.8,100,0,0
42.0,12.9,100,0,0
42.0,13.0,100,0,0
42.0,13.100000000000001,100,0,0
42.0,13.200000000000001,100,0,0
42.0,13.3,100,0,0
42.0,13.4,100,0,0
42.0,13.5,100,0,0
42.0,13.600000000000001,100,0,0
42.0,13.700000000000001,100,0,0
42.0,13.8,100,0,0
42.0,13.9,100,0,0
42.0,14.0,100,0,0
42.0,14.100000000000001,100,0,0
42.0,14.200000000000001,100,0,0
42.0,14.3,100,0,0
42.0,14.4,100,0,0
42.0,14.5,100,0,0
42.0,14.600000000000001,100,0,0
42.0,14.700000000000001,100,0,0
42.0,14.8,100,0,0
42.0,14.9,100,0,0
42.0,15.0,100,0,0
42.0,15.100000000000001,100,0,0
42.0,15.200000000000001,100,0,0
42.0,15.3,100,0,0
42.0,15.4,100,0,0
42.0,15.5,100,0,0
42.0,15.600000000000001,100,0,0
42.0,15.700000000000001,100,0,0
42.0,15.8,100,0,0
42.0,15.9,100,0,0
42.0,16.0,100,0,0
42.0,16.1,100,0,0
42.0,16.200000000000003,100,0,0
42.0,16.3,100,0,0
42.0,16.4,100,0,0
42.0,16.5,100,0,0
42.0,16.6,100,0,0
42.0,16.700000000000003,100,0,0
42.0,16.8,100,0,0
42.0,16.9,100,0,0
42.0,17.0,100,0,0
42.0,17.1,100,0,0
42.0,17.2,100,0,0
42.0,17.3,100,0,0
42.0,17.400000000000002,100,0,0
42.0,17.5,100,0,0
42.0,17.6,100,0,0
42.0,17.7,100,0,0
42.0,17.8,100,0,0
42.0,17.900000000000002,100,0,0
42.0,18.0,100,0,0
42.0,18.1,100,0,0
42.0,18.2,100,0,0
42.0,18.3,100,0,0
42.0,18.400000000000002,100,0,0
42.0,18.5,100,0,0
42.0,18.6,100,0,0
42.0,18.7,100,0,0
42.0,18.8,100,0,0
42.0,18.900000000000002,100,0,0
42.0,19.0,100,0,0
42.0,19.1,100,0,0
42.0,19.2,100,0,0
42.0,19.3,100,0,0
42.0,19.400000000000002,100,0,0
42.0,19.5,100,0,0
42.0,19.6,100,0,0
42.0,19.7,100,0,0
42.0,19.8,100,0,0
42.0,19.900000000000002,100,0,0
42.0,20.0,100,0,0
42.0,20.1,100,0,0
42.0,20.200000000000003,100,0,0
42.0,20.3,100,0,0
42.0,20.400000000000002,100,0,0
42.0,20.5,100,0,0
42.0,20.6,100,0,0
42.0,20.700000000000003,100,0,0
42.0,20.8,100,0,0
42.0,20.900000000000002,100,0,0
42.0,21.0,100,0,0
42.0,21.1,100,0,0
42.0,21.200000000000003,100,0,0
42.0,21.3,100,0,0
42.0,21.400000000000002,100,0,0
42.0,21.5,100,0,0
42.0,21.6,100,0,0
42.0,21.700000000000003,100,0,0
42.0,21.8,100,0,0
42.0,21.900000000000002,100,0,0
