Charge,Start,Result
6.400000000000000000e+01,1.399999999999999911e+00,0.000000000000000000e+00
7.200000000000000000e+01,1.399999999999999911e+00,0.000000000000000000e+00
8.000000000000000000e+01,1.399999999999999911e+00,0.000000000000000000e+00
8.800000000000000000e+01,1.399999999999999911e+00,0.000000000000000000e+00
9.600000000000000000e+01,1.399999999999999911e+00,0.000000000000000000e+00
1.040000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
1.120000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
1.200000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
1.280000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
1.360000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
1.440000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
1.520000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
1.600000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
1.680000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
1.760000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
1.840000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
1.920000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.000000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.080000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.160000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.240000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.320000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.400000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.480000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.560000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.640000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.720000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.800000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.880000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
2.960000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.040000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.120000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.200000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.280000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.360000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.440000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.520000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.600000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.680000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.760000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.840000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
3.920000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.000000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.080000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.160000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.240000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.320000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.400000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.480000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.560000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.640000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.720000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.800000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.880000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
4.960000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
5.040000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
5.120000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
5.200000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
5.280000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
5.360000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
5.440000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
5.520000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
5.600000000000000000e+02,1.399999999999999911e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.600000000000000089e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.600000000000000089e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.600000000000000089e+00,0.000000000000000000e+00
3.200000000000000000e+01,1.600000000000000089e+00,0.000000000000000000e+00
4.000000000000000000e+01,1.600000000000000089e+00,0.000000000000000000e+00
4.800000000000000000e+01,1.600000000000000089e+00,0.000000000000000000e+00
5.600000000000000000e+01,1.600000000000000089e+00,0.000000000000000000e+00
6.400000000000000000e+01,1.600000000000000089e+00,0.000000000000000000e+00
7.200000000000000000e+01,1.600000000000000089e+00,0.000000000000000000e+00
8.000000000000000000e+01,1.600000000000000089e+00,0.000000000000000000e+00
8.800000000000000000e+01,1.600000000000000089e+00,0.000000000000000000e+00
9.600000000000000000e+01,1.600000000000000089e+00,0.000000000000000000e+00
1.040000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
1.120000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
1.200000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
1.280000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
1.360000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
1.440000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
1.520000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
1.600000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
1.680000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
1.760000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
1.840000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
1.920000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.000000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.080000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.160000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.240000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.320000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.400000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.480000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.560000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.640000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.720000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.800000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.880000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
2.960000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.040000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.120000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.200000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.280000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.360000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.440000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.520000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.600000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.680000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.760000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.840000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
3.920000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.000000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.080000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.160000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.240000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.320000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.400000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.480000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.560000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.640000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.720000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.800000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.880000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
4.960000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
5.040000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
5.120000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
5.200000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
5.280000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
5.360000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
5.440000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
5.520000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
5.600000000000000000e+02,1.600000000000000089e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.800000000000000044e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.800000000000000044e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.800000000000000044e+00,0.000000000000000000e+00
3.200000000000000000e+01,1.800000000000000044e+00,0.000000000000000000e+00
4.000000000000000000e+01,1.800000000000000044e+00,0.000000000000000000e+00
4.800000000000000000e+01,1.800000000000000044e+00,0.000000000000000000e+00
5.600000000000000000e+01,1.800000000000000044e+00,0.000000000000000000e+00
6.400000000000000000e+01,1.800000000000000044e+00,0.000000000000000000e+00
7.200000000000000000e+01,1.800000000000000044e+00,0.000000000000000000e+00
8.000000000000000000e+01,1.800000000000000044e+00,0.000000000000000000e+00
8.800000000000000000e+01,1.800000000000000044e+00,0.000000000000000000e+00
9.600000000000000000e+01,1.800000000000000044e+00,0.000000000000000000e+00
1.040000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
1.120000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
1.200000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
1.280000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
1.360000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
1.440000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
1.520000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
1.600000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
1.680000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
1.760000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
1.840000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
1.920000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.000000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.080000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.160000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.240000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.320000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.400000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.480000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.560000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.640000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.720000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.800000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.880000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
2.960000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.040000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.120000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.200000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.280000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.360000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.440000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.520000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.600000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.680000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.760000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.840000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
3.920000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.000000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.080000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.160000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.240000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.320000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.400000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.480000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.560000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.640000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.720000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.800000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.880000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
4.960000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
5.040000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
5.120000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
5.200000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
5.280000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
5.360000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
5.440000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
5.520000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
5.600000000000000000e+02,1.800000000000000044e+00,0.000000000000000000e+00
8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
7.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
9.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.040000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.360000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.440000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.520000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.680000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.760000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.840000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.920000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.080000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.160000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.240000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.320000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.480000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.560000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.640000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.720000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.880000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
2.960000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
3.040000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
